Codigo;Nome;Website;Filiado à Febraban
;Banco Itaú Veículos S.A.;www.bancofiat.com.br;yes
479;Banco ItauBank S.A;www.itaubank.com.br;yes
;Banco Itaucard S.A.;www.itau.com.br;yes
;Banco Itauleasing S.A.;www.itau.com.br;yes
376;Banco J. P. Morgan S.A.;www.jpmorgan.com;yes
74;Banco J. Safra S.A.;www.safra.com.br;yes
217;Banco John Deere S.A.;www.johndeere.com.br;yes
76;Banco KDB S.A.;www.bancokdb.com.br;
757;Banco KEB HANA do Brasil S.A.;www.bancokeb.com.br;
;Banco Komatsu S.A.;www.bancokomatsu.com.br;
;Banco Losango S.A. - Banco Múltiplo;www.losango.com.br;
600;Banco Luso Brasileiro S.A.;www.lusobrasileiro.com.br;yes
243;Banco Máxima S.A.;www.bancomaxima.com.br;
;Banco Mercantil de Investimentos S.A.;www.mercantil.com.br;
389;Banco Mercantil do Brasil S.A.;www.mercantil.com.br;yes
;Banco Mercedes-Benz do Brasil S.A.;www.bancomercedesbenz.com.br;
370;Banco Mizuho do Brasil S.A.;www.mizuhobank.com/brazil/pt/;yes
746;Banco Modal S.A.;www.bancomodal.com.br;yes
;Banco Moneo S.A.;www.bancomoneo.com.br;
66;Banco Morgan Stanley S.A.;www.morganstanley.com.br;
456;Banco MUFG Brasil S.A.;www.br.bk.mufg.jp;yes
7;Banco Nacional de Desenvolvimento Econômico e Social - BNDES;www.bndes.gov.br;
169;Banco Olé Bonsucesso Consignado S.A.;www.oleconsignado.com.br;yes
79;Banco Original do Agronegócio S.A.;www.original.com.br;
212;Banco Original S.A.;www.original.com.br;yes
712;Banco Ourinvest S.A.;www.ourinvest.com.br;
623;Banco PAN S.A.;www.bancopan.com.br;yes
611;Banco Paulista S.A.;www.bancopaulista.com.br;yes
643;Banco Pine S.A.;www.pine.com;yes
658;Banco Porto Real de Investimentos S.A.;;
;Banco PSA Finance Brasil S.A.;www.bancopsa.com.br;
747;Banco Rabobank International Brasil S.A.;www.rabobank.com.br;yes
;Banco Randon S.A.;www.bancorandon.com;
;Banco RCI Brasil S.A.;www.bancorenault.com.br;yes
633;Banco Rendimento S.A.;www.rendimento.com.br;yes
741;Banco Ribeirão Preto S.A.;www.brp.com.br;
720;BANCO RNX S.A;www.bancomaxinvest.com.br;
120;Banco Rodobens S.A.;www.rodobens.com.br;yes
422;Banco Safra S.A.;www.safra.com.br;yes
33;Banco Santander (Brasil) S.A.;www.santander.com.br;yes
743;Banco Semear S.A.;www.bancosemear.com.br;yes
754;Banco Sistema S.A.;www.btgpactual.com;
630;Banco Smartbank S.A.;;yes
366;Banco Société Générale Brasil S.A.;www.sgbrasil.com.br;yes
637;Banco Sofisa S.A.;www.sofisa.com.br;
464;Banco Sumitomo Mitsui Brasileiro S.A.;www.smbcgroup.com.br;yes
82;Banco Topázio S.A.;www.bancotopazio.com.br;yes
;Banco Toyota do Brasil S.A.;www.bancotoyota.com.br;yes
634;Banco Triângulo S.A.;www.tribanco.com.br;yes
18;Banco Tricury S.A.;www.bancotricury.com.br;
;Banco Vipal S.A.;www.bancovipal.com.br;
;Banco Volkswagen S.A.;www.bancovw.com.br;
;Banco Volvo Brasil S.A.;Não possui site;yes
655;Banco Votorantim S.A.;www.bancovotorantim.com.br;yes
610;Banco VR S.A.;www.vrinvestimentos.com.br;yes
119;Banco Western Union do Brasil S.A.;www.bancowesternunion.com.br;yes
124;Banco Woori Bank do Brasil S.A.;www.wooribank.com.br;
102;Banco XP S.A.;;yes
;Banco Yamaha Motor do Brasil S.A.;www.yamaha-motor.com.br;yes
81;BancoSeguro S.A.;www.rendimento.com.br;
21;BANESTES S.A. Banco do Estado do Espírito Santo;www.banestes.com.br;yes
755;Bank of America Merrill Lynch Banco Múltiplo S.A.;www.ml.com;yes
;BB Banco de Investimento S.A.;www.bb.com.br;
250;BCV - Banco de Crédito e Varejo S.A.;www.bancobcv.com.br;yes
144;BEXS Banco de Câmbio S.A.;www.bexs.com.br;yes
;BMW Financeira S.A. - Crédito, Financiamento e Investimento;www.bmwfs.com.br;
17;BNY Mellon Banco S.A.;www.bnymellon.com.br;yes
126;BR Partners Banco de Investimento S.A.;www.brap.com.br;
70;BRB - Banco de Brasília S.A.;www.brb.com.br;yes
92;Brickell S.A. Crédito, Financiamento e Investimento;www.brickellcfi.com.br;
;BRK S.A. Crédito, Financiamento e Investimento;;
;BV Financeira S.A. - Crédito, Financiamento e Investimento;www.bvfinanceira.com.br;
104;Caixa Econômica Federal;www.caixa.gov.br;yes
;Caruana S.A. - Sociedade de Crédito, Financiamento e Investimento;;
;CCB Brasil S.A. - Crédito, Financiamentos e Investimentos;www.sulfinanceira.com.br;
;Central das Cooperativas de Crédito do Estado de São Paulo - SICOOB CENTRAL CECRESP;;
114-7;Central das Cooperativas de Economia e Crédito Mútuo do Estado do Espírito Santo Ltda.;www.cecoop.com.br;
320;China Construction Bank (Brasil) Banco Múltiplo S.A.;www.br.ccb.com;yes
477;Citibank N.A.;www.citibank.com;yes
163;Commerzbank Brasil S.A. - Banco Múltiplo;www.commerzbank.com.br;
85;Cooperativa Central de Crédito - AILOS;www.ailos.coop.br;
97;Cooperativa Central de Crédito Noroeste Brasileiro Ltda.;www.credisis.com.br;
090-2;Cooperativa Central de Economia e Crédito Mutuo - SICOOB UNIMAIS;www.sicoobunimais.com/;
087-6;Cooperativa Central de Economia e Crédito Mútuo das Unicreds de Santa Catarina e Paraná;www.unicred.com.br/centralscpr/;
089-2;Cooperativa de Crédito Rural da Região da Mogiana;www.credisan.com.br;
098-1;CREDIALIANÇA COOPERATIVA DE CRÉDITO RURAL;www.credialianca.com.br;
;Credicoamo Crédito Rural Cooperativa;;
;Credjust - Cooperativa de Crédito Mútuo dos Integrantes da Justiça da 13ª Região LTDA.;;
;Dacasa Financeira S.A.-Soc. de Créd. Financ. e Investimento;www.dacasa.com.br;
;Daycoval Leasing - Banco Múltiplo S.A.;www.daycoval.com.br;
487;Deutsche Bank S.A. - Banco Alemão;www.deutsche-bank.com.br;yes
;Facta Financeira S.A. - Crédito Financiamento e Investimento;;
;Finamax S.A. - Crédito, Financiamento e Investimento;www.finamax.com.br;
64;Goldman Sachs do Brasil Banco Múltiplo S.A.;www.goldmansachs.com;yes
78;Haitong Banco de Investimento do Brasil S.A.;www.haitongib.com.br;
62;Hipercard Banco Múltiplo S.A.;www.hipercard.com.br;yes
;HS Financeira S/A Crédito, Financiamento e Investimentos;www.hsfinanceira.com.br;
269;HSBC Brasil S.A. - Banco de Investimento;;yes
132;ICBC do Brasil Banco Múltiplo S.A.;www.icbcbr.com.br;
492;ING Bank N.V.;www.ing.com;yes
139;Intesa Sanpaolo Brasil S.A. - Banco Múltiplo;www.intesasanpaolobrasil.com.br;
652;Itaú Unibanco Holding S.A.;www.itau.com.br;yes
341;Itaú Unibanco S.A.;www.itau.com.br;yes
;J. Malucelli Distribuidora de Títulos e Valores Mobiliários LTDA.;www.paranaasset.com;
488;JPMorgan Chase Bank, National Association;www.jpmorganchase.com;yes
399;Kirton Bank S.A. - Banco Múltiplo;;yes
;Lecca Crédito, Financiamento e Investimento S/A;www.lecca.com.br;
128;MS Bank S.A. Banco de Câmbio;www.msbank.com.br;yes
753;Novo Banco Continental S.A. - Banco Múltiplo;www.nbcbank.com.br;
613;Omni Banco S.A.;www.bancopecunia.com.br;
;Omni SA Crédito Financiamento Investimento;www.omni.com.br;
254;Paraná Banco S.A.;www.paranabanco.com.br;yes
;Parati - Crédito Financiamento e Investimento S.A.;;
;Pernambucanas Financiadora S.A. - Crédito, Financiamento e Investimento;;
;Pine Investimentos Distribuidoras de Títulos e Valores Mobiliários LTDA;www.bancopine.com.br;
125;Plural S.A. - Banco Múltiplo;www.brasilplural.com;yes
;Portocred S.A. - Crédito, Financiamento e Investimento;;
;PortoSeg S.A. - Crédito, Financiamento e Investimento;www.portofinanciamento.com.br;
;Redecard S.A.;www.userede.com.br;
;Santana S.A. - Crédito, Financiamento e Investimento;www.santana-shopcred.com.br;
;Santinvest S.A - Crédito, Financiamento e Investimentos;www.santinvest.com.br;
;Sax S.A. - Crédito, Financiamento e Investimento;;
;Scania Banco S.A.;www.scaniabanco.com.br;yes
751;Scotiabank Brasil S.A. Banco Múltiplo;www.br.scotiabank.com;yes
;Sorocred Crédito, Financiamento e Investimento S.A.;;
118;Standard Chartered Bank (Brasil) S/A–Bco Invest.;www.standardchartered.com;
14;State Street Brasil S.A. - Banco Comercial;www.br.natixis.com;
95;Travelex Banco de Câmbio S.A.;www.bancoconfidence.com.br;yes
129;UBS Brasil Banco de Investimento S.A.;www.ubs.com;yes
091-4;Unicred Central do Rio Grande do Sul;www.unicred-rs.com.br;
;UNIPRIME Central - Central Interestadual de Cooperativas de Crédito Ltda.;www.uniprimecentral.com.br;
84;Uniprime Norte do Paraná - Coop de Economia e Crédito Mútuo dos Médicos, Profissionais das Ciências;www.uniprimebr.com;
;Volvo Administradora de Consórcio LTDA.;www.volvo.com.br;
